"","Observed","Simpson"
"X5grass",132,0.843144612244898
"X6grass",143,0.898032244897959
"X7grass",127,0.872694326530612
"X8grass",163,0.903985959183673
"X9grass",117,0.806466816326531
"X10grass",100,0.872573836734694
"X11grass",163,0.889089714285714
"X12grass",109,0.887999836734694
"X13grass",127,0.909618367346939
"X14grass",169,0.846509142857143
"X15grass",113,0.587698
"X16grass",132,0.901562816326531
"X17grass",76,0.690922448979592
"X18grass",119,0.877428530612245
"X19grass",145,0.947769142857143
"X20grass",128,0.578200081632653
"X21grass",105,0.560016489795918
"X22grass",139,0.867648530612245
"X23grass",169,0.87511212244898
"X24grass",127,0.898907755102041
"X25grass",186,0.94012293877551
"X26grass",257,0.897143632653061
"X27grass",146,0.872897918367347
"X28grass",188,0.917025306122449
"X29grass",159,0.903002081632653
"X30grass",146,0.915937959183673
"X31grass",113,0.919919020408163
"X32grass",145,0.949551510204082
"X33grass",143,0.818187918367347
"X34grass",121,0.926968081632653
"X35grass",154,0.928597551020408
"X36grass",157,0.915159755102041
"X37grass",142,0.923058081632653
"X38grass",161,0.948273673469388
"X39grass",165,0.93713906122449
"X40grass",148,0.917122612244898
"X41grass",132,0.824971795918367
"X42grass",122,0.927445918367347
"X43grass",112,0.903669020408163
"X44grass",142,0.924415836734694
"X45grass",112,0.910810979591837
"X46grass",103,0.814765591836735
"X47grass",131,0.81088
"X48grass",202,0.94529306122449
"X49grass",142,0.85420906122449
"X50grass",163,0.833797306122449
"X51grass",77,0.892564408163265
"X52grass",103,0.951731551020408
"X53grass",127,0.594816163265306
"X54grass",139,0.533800530612245
"X55grass",117,0.517277346938775
"X56grass",136,0.655439306122449
"X57grass",101,0.515683673469388
"X58grass",85,0.181005265306122
"X59grass",94,0.198146163265306
"X60grass",246,0.88702812244898
"X61grass",137,0.501414
"X62grass",148,0.573566
"X63grass",144,0.875788285714286
"X64grass",113,0.316784163265306
"X65grass",190,0.929506244897959
"X66grass",167,0.900530040816326
"X67grass",141,0.74256587755102
"X68grass",178,0.941032204081633
"X69grass",177,0.865394081632653
"X70grass",131,0.848325020408163
"X71grass",153,0.842352489795918
"X72grass",137,0.622021306122449
"X73grass",129,0.817955306122449
"X74grass",132,0.715349591836735
"X75grass",173,0.875115755102041
"X76grass",146,0.805507714285714
"X77grass",95,0.868780285714286
"X78grass",118,0.944239428571429
"X79grass",154,0.931064734693878
"X80grass",149,0.818639755102041
"X81grass",112,0.899685959183673
"X82grass",118,0.827502326530612
"X83grass",151,0.83230293877551
"X84grass",98,0.837324693877551
"X85grass",150,0.890704
"X86grass",84,0.89891893877551
"X87grass",110,0.881852897959184
"X88grass",143,0.768111469387755
