"","Observed","Simpson"
"X5grass",173,0.838740204444444
"X6grass",207,0.901529597777778
"X7grass",170,0.870929328888889
"X8grass",242,0.900895571111111
"X13grass",163,0.910875084444444
"X17grass",126,0.698114173333333
"X18grass",174,0.880371264444444
"X19grass",218,0.948294064444444
"X20grass",189,0.583663102222222
"X21grass",149,0.556750126666667
"X22grass",184,0.872587337777778
"X23grass",244,0.875599266666667
"X24grass",176,0.894287128888889
"X25grass",242,0.940928804444444
"X26grass",383,0.893145748888889
"X27grass",235,0.875796775555556
"X28grass",247,0.917520317777778
"X29grass",199,0.904822786666667
"X30grass",186,0.914896733333333
"X31grass",162,0.9184621
"X32grass",195,0.949880604444444
"X33grass",226,0.817125322222222
"X34grass",154,0.928396251111111
"X35grass",219,0.931100813333333
"X36grass",251,0.913503748888889
"X37grass",191,0.923716086666667
"X38grass",240,0.949834075555556
"X39grass",210,0.940938146666667
"X40grass",228,0.918791902222222
"X41grass",204,0.827629371111111
"X42grass",196,0.925980428888889
"X43grass",167,0.899626235555556
"X44grass",231,0.922501275555556
"X45grass",167,0.915305553333333
"X48grass",316,0.946961695555556
"X50grass",230,0.838440637777778
"X53grass",191,0.59579024
"X54grass",205,0.537652968888889
"X55grass",190,0.524415
"X56grass",212,0.659878555555556
"X57grass",174,0.51362974
"X58grass",125,0.190156408888889
"X59grass",188,0.202292266666667
"X60grass",350,0.889740666666667
"X61grass",206,0.500265031111111
"X62grass",267,0.564484582222222
"X63grass",250,0.880034066666667
"X64grass",166,0.3038983
"X65grass",279,0.926363264444444
"X66grass",214,0.899079593333333
"X67grass",219,0.741167157777778
"X68grass",231,0.941052184444444
"X69grass",235,0.863702997777778
"X70grass",176,0.843905488888889
"X71grass",227,0.847909548888889
"X72grass",202,0.630858566666667
"X73grass",194,0.818523448888889
"X74grass",185,0.708395248888889
"X75grass",225,0.870714624444444
"X76grass",191,0.807171542222222
"X77grass",140,0.867284973333333
"X78grass",158,0.943559362222222
"X79grass",211,0.931055051111111
"X80grass",212,0.808295755555556
"X81grass",180,0.897952222222222
"X82grass",161,0.831160315555556
"X83grass",221,0.831818204444444
"X84grass",146,0.841887117777778
"X85grass",221,0.891633691111111
"X86grass",137,0.900795484444444
"X87grass",152,0.881805022222222
"X88grass",194,0.766363835555556
"X89grass",155,0.677558775555556
"X90grass",79,0.908379795555556
"X91grass",175,0.853987773333333
"X92grass",215,0.917338868888889
"X93grass",137,0.904632082222222
"X94grass",120,0.532934911111111
"X95grass",163,0.538768897777778
"X96grass",132,0.357705368888889
"X97grass",193,0.813254511111111
"X98grass",182,0.904605557777778
"X99grass",143,0.748698984444444
"X100grass",133,0.799951504444444
"X101grass",187,0.812406526666667
"X102grass",175,0.883156811111111
"X103grass",149,0.889193693333333
"X104grass",179,0.892696173333333
"X105grass",162,0.879837197777778
"X106grass",160,0.90595384
"X108grass",125,0.814712702222222
"X109grass",180,0.866443042222222
"X110grass",146,0.617842864444444
"X111grass",133,0.700483388888889
"X112grass",132,0.529990017777778
"X113grass",165,0.788483117777778
"X114grass",108,0.734423631111111
"X115grass",122,0.698100835555556
"X116grass",138,0.848798084444444
"X117grass",151,0.908012217777778
"X118grass",170,0.844562795555556
"X119grass",200,0.849875068888889
"X120grass",137,0.72514732
"X121grass",164,0.878988193333333
"X122grass",161,0.75241974
"X123grass",182,0.792307528888889
"X124grass",152,0.782075857777778
"X125grass",177,0.924358602222222
"X126grass",178,0.9141012
"X127grass",112,0.930129606666667
"X128grass",110,0.902676011111111
"X129grass",138,0.940628984444444
"X132grass",168,0.869745788888889
"X133grass",217,0.672586526666667
"X134grass",218,0.946452146666667
"X135grass",219,0.911161897777778
"X136grass",165,0.926919222222222
"X137grass",216,0.672879773333333
"X138grass",157,0.71499342
"X139grass",214,0.813336666666667
"X140grass",152,0.84568874
"X141grass",200,0.937140108888889
"X143grass",223,0.868367108888889
"X144grass",223,0.950285326666667
"X145grass",219,0.912020604444444
"X146grass",162,0.822135966666667
"X147grass",140,0.487067228888889
"X148grass",221,0.905538237777778
"X149grass",160,0.895384504444444
"X150grass",245,0.908226213333333
"X151grass",180,0.644679344444445
"X152grass",197,0.946537297777778
"X155grass",208,0.904346188888889
"X156grass",192,0.825127737777778
"X157grass",192,0.848678757777778
"X158grass",123,0.881981535555556
"X159grass",178,0.726904546666667
